Code;Insul_Material;Temp;cond_Iso
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);24;0,0518
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);50;0,0605
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);80;0,0728
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);100;0,0823
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);130;0,0985
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);150;0,1107
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);180;0,1308
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);200;0,1455
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);230;0,1696
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C);232;0,1713
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);24;0,0452
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);50;0,0504
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);80;0,0587
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);100;0,0656
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);130;0,0779
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);150;0,0875
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);180;0,1038
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);200;0,1160
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);220;0,1293
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);230;0,1363
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C);232;0,1378
i11;Mineral Fiber Blanket Therma Insulation - Type III   (Temp 24 -  232 °C);24;0,0371
i11;Mineral Fiber Blanket Therma Insulation - Type III   (Temp 24 -  232 °C);50;0,0424
